"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"2","1.023044","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"3","1.630708","192.168.11.20","151.101.42.49","TLSv1.2","179","Application Data"
"4","1.636582","151.101.42.49","192.168.11.20","TLSv1.2","280","Application Data"
"5","1.636638","192.168.11.20","151.101.42.49","TCP","66","63739  >  443 [ACK] Seq=114 Ack=215 Win=4089 Len=0 TSval=596184523 TSecr=3673323534"
"6","1.667357","192.168.11.20","172.217.6.35","TCP","54","63831  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"7","1.671982","172.217.6.35","192.168.11.20","TCP","66","[TCP ACKed unseen segment] 443  >  63831 [ACK] Seq=1 Ack=2 Win=179 Len=0 TSval=972421693 TSecr=595958859"
"8","2.662962","192.168.11.63","255.255.255.255","DB-LSP-DISC","236","Dropbox LAN sync Discovery Protocol"
"9","2.665355","192.168.11.63","192.168.11.255","DB-LSP-DISC","236","Dropbox LAN sync Discovery Protocol"
"10","4.916745","192.168.11.5","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"11","6.097026","192.168.11.20","224.0.0.251","MDNS","99","Standard query 0x0000 PTR 94330805._sub._apple-mobdev2._tcp.local, ""QM"" question"
"12","6.097988","fe80::1877:eec8:567d:eb60","ff02::fb","MDNS","119","Standard query 0x0000 PTR 94330805._sub._apple-mobdev2._tcp.local, ""QM"" question"
"13","6.194395","162.125.18.133","192.168.11.20","TLSv1.2","323","Application Data"
"14","6.194469","192.168.11.20","162.125.18.133","TCP","66","63802  >  443 [ACK] Seq=1 Ack=258 Win=4087 Len=0 TSval=596189078 TSecr=2225845376"
"15","6.197538","192.168.11.20","162.125.18.133","TLSv1.2","1083","Application Data"
"16","6.273045","162.125.18.133","192.168.11.20","TCP","66","443  >  63802 [ACK] Seq=258 Ack=1018 Win=114 Len=0 TSval=2225845396 TSecr=596189081"
"17","7.576446","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"18","8.602293","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"19","9.013317","192.168.11.5","192.168.11.255","UDP","86","57621  >  57621 Len=44"
"20","9.624354","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"21","9.647163","192.168.11.20","151.101.42.49","TLSv1.2","179","Application Data"
"22","9.660909","151.101.42.49","192.168.11.20","TCP","1514","443  >  63739 [ACK] Seq=215 Ack=227 Win=61 Len=1448 TSval=3673325540 TSecr=596192527 [TCP segment of a reassembled PDU]"
"23","9.661059","151.101.42.49","192.168.11.20","TLSv1.2","1406","Application Data"
"24","9.661113","192.168.11.20","151.101.42.49","TCP","66","63739  >  443 [ACK] Seq=227 Ack=3003 Win=4054 Len=0 TSval=596192540 TSecr=3673325540"
"25","9.661739","151.101.42.49","192.168.11.20","TCP","1514","443  >  63739 [ACK] Seq=3003 Ack=227 Win=61 Len=1448 TSval=3673325540 TSecr=596192527 [TCP segment of a reassembled PDU]"
"26","9.662891","151.101.42.49","192.168.11.20","TLSv1.2","1406","Application Data"
"27","9.662896","151.101.42.49","192.168.11.20","TLSv1.2","464","Application Data"
"28","9.662957","192.168.11.20","151.101.42.49","TCP","66","63739  >  443 [ACK] Seq=227 Ack=5791 Win=4054 Len=0 TSval=596192541 TSecr=3673325540"
"29","9.662957","192.168.11.20","151.101.42.49","TCP","66","63739  >  443 [ACK] Seq=227 Ack=6189 Win=4041 Len=0 TSval=596192541 TSecr=3673325540"
"30","9.669525","192.168.11.20","151.101.42.49","TLSv1.2","179","Application Data"
"31","9.674410","151.101.42.49","192.168.11.20","TLSv1.2","265","Application Data"
"32","9.674481","192.168.11.20","151.101.42.49","TCP","66","63739  >  443 [ACK] Seq=340 Ack=6388 Win=4089 Len=0 TSval=596192551 TSecr=3673325544"
"33","9.862518","192.168.11.20","151.101.40.133","TCP","54","63826  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"34","9.890388","151.101.40.133","192.168.11.20","TCP","66","[TCP ACKed unseen segment] 443  >  63826 [ACK] Seq=1 Ack=2 Win=61 Len=0 TSval=2118626653 TSecr=595697519"
"35","9.890415","192.168.11.20","74.125.28.189","QUIC","65","Payload (Encrypted), PKN: 107, CID: 10299038160135888930"
"36","9.921697","74.125.28.189","192.168.11.20","QUIC","72","Payload (Encrypted), PKN: 132"
"37","11.489878","192.168.11.20","151.101.40.133","TCP","54","63827  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"38","11.647924","151.101.40.133","192.168.11.20","TCP","66","[TCP ACKed unseen segment] 443  >  63827 [ACK] Seq=1 Ack=2 Win=61 Len=0 TSval=3737685542 TSecr=595697524"
"39","12.679917","192.168.11.20","255.255.255.255","DB-LSP-DISC","238","Dropbox LAN sync Discovery Protocol"
"40","12.680202","192.168.11.20","192.168.11.255","DB-LSP-DISC","238","Dropbox LAN sync Discovery Protocol"
"41","14.744089","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"42","15.668040","172.217.6.35","192.168.11.20","TLSv1.2","129","[TCP ACKed unseen segment] , Application Data"
"43","15.668047","172.217.6.35","192.168.11.20","TCP","66","[TCP ACKed unseen segment] 443  >  63831 [FIN, ACK] Seq=64 Ack=2 Win=179 Len=0 TSval=972435662 TSecr=595958859"
"44","15.668194","192.168.11.20","172.217.6.35","TCP","66","[TCP Previous segment not captured] 63831  >  443 [ACK] Seq=2 Ack=64 Win=4094 Len=0 TSval=596198539 TSecr=972435662"
"45","15.668195","192.168.11.20","172.217.6.35","TCP","66","63831  >  443 [ACK] Seq=2 Ack=65 Win=4094 Len=0 TSval=596198539 TSecr=972435662"
"46","15.668347","172.217.6.35","192.168.11.20","TCP","66","[TCP ACKed unseen segment] [TCP Out-Of-Order] 443  >  63831 [FIN, ACK] Seq=64 Ack=2 Win=179 Len=0 TSval=972435674 TSecr=595958859"
"47","15.668370","192.168.11.20","172.217.6.35","TCP","66","63831  >  443 [FIN, ACK] Seq=2 Ack=65 Win=4096 Len=0 TSval=596198539 TSecr=972435662"
"48","15.668445","192.168.11.20","172.217.6.35","TCP","66","[TCP Out-Of-Order] 63831  >  443 [FIN, ACK] Seq=2 Ack=65 Win=4096 Len=0 TSval=596198539 TSecr=972435662"
"49","15.673262","172.217.6.35","192.168.11.20","TCP","66","443  >  63831 [ACK] Seq=65 Ack=3 Win=179 Len=0 TSval=972435695 TSecr=596198539"
"50","15.673270","172.217.6.35","192.168.11.20","TCP","66","[TCP Dup ACK 49#1] 443  >  63831 [ACK] Seq=65 Ack=3 Win=179 Len=0 TSval=972435695 TSecr=596198539"
"51","15.673391","192.168.11.20","172.217.6.35","TCP","54","63831  >  443 [RST] Seq=3 Win=0 Len=0"
"52","15.768159","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"53","16.792090","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"54","17.682018","192.168.11.20","151.101.42.49","TLSv1.2","179","Application Data"
"55","17.688409","151.101.42.49","192.168.11.20","TLSv1.2","247","Application Data"
"56","17.688483","192.168.11.20","151.101.42.49","TCP","66","63739  >  443 [ACK] Seq=453 Ack=6569 Win=4090 Len=0 TSval=596200555 TSecr=3673327547"
"57","17.816328","fe80::14d3:3841:e751:b34e","ff02::2","ICMPv6","70","Router Solicitation from cc:20:e8:0e:29:32"
"58","17.817266","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"59","18.226942","192.168.11.64","224.0.0.251","MDNS","181","Standard query 0x0000 PTR _raop._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
